hostcode,hostdesc
ACS3   ,STEER (NOT YOUNGER THAN 3 MONTHS)
AD10   ,DOG - OVER 10KG
AD2    ,PUPPY - OVER 8 WEEKS OLD
ADW    ,FOX DEN
AEF    ,DEER DOE/HIND (FEMALE)
AFU10  ,CAT UP TO 10 KG
AGA    ,GOAT - ADULT
AGM    ,GOAT MILK PRODUCING
AHFI   ,HORSE FILLY (YOUNG FEMALE)
AHML   ,HORSE - LACTATING
AHMN   ,HORSE MARE NOT PREGNANT
AHN    ,PONY
AHP    ,HORSE - PASTURE FED
AHR    ,HORSE - RACEHORSE
AHU    ,HORSE - HUNTER
AICF   ,FINFISH
AICSB  ,SALMONIDS
ALBB   ,BULL - BREEDING
ALIA   ,ANIMAL - IMMATURE
ALIS   ,SHEEP - WOUND
AMS    ,SMALL MAMMALS
APKG0  ,PIG - 3 WEEKS AND OLDER
APKG7  ,PIG - LESS THAN 35 KG LIVEWEIGHT
APPS   ,PIG - PRIMIPAROUS SOW
AS1    ,SHEEP - NOT LAMBS
ASEL   ,SHEEP - LACTATING
ASLO2  ,LAMB OVER 2 WEEKS OF AGE
ASLU2  ,LAMB UNSHORN - UP TO 2 MONTHS OF AGE
ASOS   ,SHEEP - OFF SHEARS
ASWL   ,SHEEP LONG WOOL (UNSHORN)
AU     ,CIRCUS ANIMALS
FCCAR  ,ROUND-LEAFED CASSIA
FCCPE  ,CENTROSEMA (CAVALCADE) - PRE-EMERGENCE
FCCWP  ,COWPEA - PRIOR TO SOWING
FCFSO  ,FORAGE SORGHUM
FCGAB  ,"BARLEY - UNDERSOWN WITH CLOVER, LUCERNE"
FCGAT  ,BARLEY - 3 LEAF TO EARLY TILLERING STAGE
FCGAU  ,"BARLEY - UNDERSOWN(CLOVER,LUCERNE,MEDIC)"
FCGBI  ,MAIZE - IRRIGATED
FCGCRS ,CEREAL RYE - SALVAGE SPRAY
FCGDP  ,OATS - PRIOR TO SOWING
FCGDSS ,OATS - SALVAGE SPRAY
FCGE   ,RICE
FCGEAS3,RICE - AERIAL SOWN INTO FLOODED BAY PARA
FCGEPE ,RICE - POST EMERGENT
FCGEPS ,RICE - POST-SOWING
FCGF1  ,CEREAL RYE - FALLOW/PRE-PLANT
FCGFA  ,CEREAL RYE - UNDERSOWN WITH CLOVER
FCGG   ,SUDAN GRASS
FCGH0  ,WHEAT - UNDERSOWN WITH LINSEED
FCGHB  ,"WHEAT - UNDERSOWN (CLOVER, LUCERNE)"
FCGHER ,WHEAT - EAGLE ROCK ONLY
FCGHT  ,WHEAT - 3 LEAF TO EARLY TILLERING STAGE
FCGI1  ,LUPIN - POST EMERGENT
FCGI2  ,LUPIN - POST SOWING/PRE-EMERGENCE
FCGID  ,LUPIN - DANJA VARIETY
FCGIK  ,LUPIN - KIEV VARIETY
FCGIM  ,LUPIN - MYALLIE VARIETY
FCGJE  ,TRITICALE - UNDERSOWN WITH MEDIC
FCGJI  ,TRITICALE - IRRIGATED
FCGJS  ,TRITICALE SEED
FCGJSS ,TRITICALE - SALVAGE SPRAY
FCGJST ,TRITICALE - SEE LABEL FOR SOIL TYPES
FCGK   ,CEREALS UNDERSOWN
FCGKM  ,CEREAL - UNDERSOWN WITH MEDIC
FCGL2  ,SORGHUM SEED - TREATED
FCGLA  ,SORGHUM-PRE-PLANT.SOIL TMT-CONS.TIL.SYST
FCGLSS ,SORGHUM SEED - SEE LABEL
FCGPA  ,PANIC
FCGR   ,RAW CEREAL GRAIN (SEE LABEL)
FCGS2  ,SUMMER CEREAL
FCGSC  ,"CEREAL RYE U'SOWN (CLOVER,MEDIC,LUCERNE)"
FCGSS  ,SORGHUM - HARVEST AID SPRAY SALVAGE
FCGW   ,WINTER CEREAL
FCGWA  ,"WINTER CEREAL-HARVEST AID,SPRAY SALVAGE"
FCJG3  ,TRITICALE - NO-TIL/MIN TILL CROP SYSTEMS
FCJGF  ,GLENN JOINTVETCH FORAGE CROP
FCLPPC ,LEGUME BASED PASTURE(POST EMERGE)-CLOVER
FCME3  ,LUCERNE - REFER TO LABEL
FCMEE  ,LUCERNE - ESTABLISHED
FCMEG  ,LUCERNE GRAZING
FCMEP  ,LUCERNE (PRIOR TO SOWING)
FCMS1  ,MEDIC GROWN FOR SEED PRODUCTION
FCOAS  ,LINSEED SEED
FCOCD  ,SAFFLOWER OILSEED-DRYLAND
FCOD2  ,SUNFLOWER - PRE-PLANT
FCOE2  ,CANOLA - PRE-PLANT
FCOEC3 ,CANOLA - POST EMERGENCE - HERBICIDE TOLE
FCOEI  ,CANOLA - IMIDAZOLINONE TOLERANT VARIETIE
FCOEPH ,CANOLA - PRE-HARVEST/CUTTING
FCOIB  ,OILSEED CROPS - BARE EARTH SITUATION
FCOV   ,POPPY OILSEED
FCPB3  ,PIGEON PEA - REFER TO LABEL
FCS    ,SUGAR CANE
FCS2   ,SUGAR CANE SETTS
FCSA   ,SUGAR CANE - Q80 VARIETY
FCSES  ,SUGAR CANE - EARLY SEASON
FCSLH  ,SUGAR CANE - FINAL HILLING
FCSRP  ,RATOON CANE - POST EMERGENCE 
FCTFC  ,TOBACCO FLUE CURED
FCTPB  ,TOBACCO PLANT BED
FMCEY  ,LUCERNE - YOUNG PLANTS
FRBF1  ,BOYSENBERRY OVER 1 YEAR OLD
FRBI   ,STRAWBERRY
FRBIP  ,STRAWBERRY UNDER PLASTIC MULCH
FRCBV  ,VALENCIA ORANGE
FRCFG  ,GLEN RETREAT MANDARIN
FRCFI  ,IMPERIAL MANDARIN
FRCG1  ,CHINESE GOOSEBERRIES (SEE EXCEPTIONS)
FRCY   ,CITRUS - YOUNG OR SMALL
FRFB   ,FRUIT FLY FOLIAGE BAIT
FRM1   ,BITTER MELON
FRMM   ,MELON - REFER TO LABEL FOR EXCEPTION
FRPAB  ,BONZA APPLE
FRPAM  ,APPLE - GOLDEN DELICIOUS - POST HARVEST
FRPDB  ,BEURRE BOSC PEAR
FRPDC  ,CANNING VARIETY OF PEAR
FRPDF  ,PEAR OVER 3 YEARS OLD
FRPE   ,"POME FRUIT, OVER 3 YEARS OLD"
FRSA1  ,APRICOT - DORMANT - OVER 3 YEARS OLD
FRSCO  ,NECTARINE - POST-HARVEST DIP
FRSD1  ,PEACH - DORMANT - OVER 3 YEARS OLD
FRSEW  ,WILSON PLUM
FRSG1  ,PRUNE
FRSLC  ,STONE FRUIT - LOW CHILL VARIETIES
1GAA   ,AGRICULTURAL CHEMICAL ADDITIVE
2AAF   ,GRAIN STORAGE AREA AND/OR FACILITY
A      ,ANIMAL
A1     ,DOMESTIC ANIMAL
A8     ,HOOVED ANIMALS
ABDC   ,CANARY
ABDG   ,PIGEON
ABF    ,FOWL
ABGA   ,GAME BIRDS-BREEDER
ABO    ,OSTRICH
ABP3   ,BROILER
ABPCE  ,EMBRYONATED CHICKEN EGG
ABPCP  ,CHICKEN PROGENY
ABU    ,DUCKS
ACB    ,BULL
ACCA50 ,CALF OVER 50KG
ACCONP3,CATTLE-NOT LACTATING(OR W/I 35 DAYS OF C
ACCP   ,COW - PREGNANT
ACS    ,STEER (CASTRATED MALE CATTLE)
ACSS   ,STEER- PASTURE FED
AD3    ,DOG - OLDER
AD4W   ,DOG - OVER 4 WEEKS OLD
AD5K   ,DOG - OVER 5 KG
ADK    ,DOG - 10-25 KG
ADL    ,DOG - LARGE
ADNR   ,DOG - NON REPRODUCTIVE
ADP2   ,PUPPY - OVER 2 WEEKS OLD
ADP3   ,PUPPY - OVER 3 MONTHS OLD
AFK    ,KITTEN
AHB    ,HORSE - BREEDING
AHH    ,HORSE - HACK
AHW    ,HORSE WEANLING
AHY    ,HORSE - YEARLING
AJ     ,FERRETS
AL     ,CAMEL
APA    ,PIG - ADULT
APKG1  ,PIG - LESS THAN 45KG LIVEWEIGHT
APP12  ,PIGLET UP TO 12 WEEKS OLD
AQ     ,REPTILE
ARP    ,GUINEA PIG
ARPB   ,AROUND PLANTS AND/OR BORDER AREAS
ARR    ,RABBIT
ARR1   ,RABBIT - EUROPEAN
AS2    ,SHEEP - 6 WEEKS TO 6 MONTHS WOOL GROWTH
FC     ,FIELD CROP
FC2    ,GRAIN CROP
FCAXF  ,AXILLARIS FORAGE CROP
FCCGA  ,CENTRO FORAGE CROP - PRIOR TO SOWING
FCDGF  ,GREENLEAF DESMODIUM FORAGE CROP
FCFO   ,OTHER FORAGE SPECIES
FCGA4  ,BARLEY - PRIOR TO SOWING & INCORPORATED
FCGAC  ,BARLEY U'SOWN WITH SUB CLOVER
FCGAL  ,BARLEY - SEE LABEL
FCGAM  ,MALTING BARLEY
FCGAPC ,BARLEY - POST CROP & WEED EMERGENCE
FCGAPS ,BARLEY (POST SOWING)
FCGAW  ,BARLEY - WEEAH VARIETY
FCGB   ,MAIZE
FCGBP  ,MAIZE - PRE-EMERGENT
FCGC1  ,CEREAL RYE - SEE LABEL
FCGCD  ,BROOM MILLET - DRYLAND
FCGCI  ,BROOM MILLET - IRRIGATED
FCGD4  ,OATS - SEE LABEL FOR VARIETIES
FCGD6  ,OATS U'SOWN (LUCERNE)
FCGFB  ,"CEREAL RYE - UNDERSOWN (CLOVER, LUCERNE)"
FCGGR  ,GRASSES
FCGH1  ,WHEAT - SEE LABEL
FCGH9  ,WHEAT - SEE LABEL FOR SOIL TYPES
FCGHA  ,WHEAT - UNDERSOWN WITH CLOVER
FCGHD  ,WHEAT - PRE-EMERGENT
FCGHFP ,WHEAT - FALLOW/PRE-PLANT
FCGHSS ,WHEAT - SALVAGE SPRAY
FCGIX  ,WHITE LUPIN - PRE-EMERGENT
FCGJPP ,TRITICALE-PRE&POST SOWING SELF MULCHING
FCGJSL ,TRITICALE - SEE LABEL
FCGJUS ,TRITICALE - UNDERSOWN WITH LUCERNE
FCGKSL ,CEREAL UNDERSOWN -SUBCLOVER (SEE LBL)
FCGLPE ,SORGHUM - POST-EMERGENCE
FCGLPH ,SORGHUM - PRE-HARVEST
FCGLW  ,LUPIN - WONGA VARIETY
FCGW1  ,WINTER CEREAL - POST SOWING/PRE-EMERGENC
FCLCS  ,LEGUME SEED
FCLOF  ,LOTUS FORAGE CROP
FCLPPS ,LEGUME BASED PAST(POST EMERGE)SERRADELLA
FCOA1  ,LINSEED CROP
FCOB   ,RAPE FODDER
FCOD1  ,SUNFLOWER
FCOKL  ,LEAFY CRUCIFER
FCOOC  ,OILSEED CROPS - SEE LABEL
FCOV1  ,POPPY
FCP5   ,FIELD PEA - INCORPORATED BY SOWING
FCPCW  ,COWPEA
FCPDE  ,FIELD PEA - EARLY DUN
FCPKS  ,CHICKPEA SEED
FCPOI  ,IRRIGATED SACCALINE
FCPP   ,FIELD PEA (PRIOR TO SOWING)
FCS1   ,SUGAR CANE - SEE LABEL
FCSC   ,SUGAR CANE - H56 VARIETY
FCSEED ,SEED CROP
FCSL   ,SUGAR CANE - UP TO 3 LEAF STAGE
FCSLS  ,SUGAR CANE - LATE SEASON
FCSQ1  ,SUGAR CANE Q124 VARIETY
FCSTA  ,COMMON STYLO FORAGE CROP-PRIOR TO SOWING
FCTT   ,TOBACCO TRANSPLANT
FCU    ,FLAX
FG     ,FIBREGLASS
FRAD   ,FRUIT TREE - DORMANT - OVER 3 YEARS OLD
FRB1   ,BERRY FRUIT OVER 1 YEAR OLD
FRBA   ,BLACKBERRY
FRBA1  ,RUBUS
FRBB1  ,RIBES
FRBCP  ,BLUEBERRY PLANTATION
FRBL1  ,LOGANBERRY OVER 1 YEAR OLD
FRCBP  ,WASHINGTON NAVEL ORANGE
FRCP   ,CITRUS FRUIT (SEE LABEL FOR EXCEPTIONS)
FRMI   ,HONEY-DEW MELON
FRMMK  ,MUSKMELON
FRMS   ,ROCKMELON
FRPA3  ,APPLE - LEGANA
FRPAG  ,GRAVENSTEIN APPLE
FRPAGA ,GALA APPLE
FRPAI  ,APPLE OVER 8 YEARS OLD
FRPAK  ,DELICIOUS APPLE
FRPD4  ,PEAR OVER 4 YEARS OLD
FRPDI  ,PEAR - PACKHAM - POST HARVEST DIP
FRPDN1 ,NASHI PEAR - DORMANT - OVER 3 YEARS OLD
FRPEST ,POME FRUIT TREE - ESTABLISHED
FRPF   ,QUINCE
FRPFD  ,QUINCE - POST-HARVEST DIP
FRSAD  ,DORMANT APRICOT
FRSAO  ,APRICOT - ORCHARD
FRSBRS ,CHERRY - RON'S SEEDLING
FRSD2  ,PEACH DORMANT
FRSDF  ,PEACH - ESTABLISHED
FRSED  ,WICKSON PLUM
FRSGO  ,PRUNE PLUM - POST-HARVEST DIP
FRSN1  ,NECTARINE - DORMANT
FRT    ,TROPICAL FRUIT
FRT10PL,PERSIMMON PLANTATION
FRT12P ,POMEGRANATE - POST-HARVEST
FRT14  ,RAMBUTAN
FRTBIP ,BANANA - INTERPLANTED WITH AVOCADOS
AA     ,ALL ANIMALS
AAQ    ,AQUACULTURE
AB     ,BIRDS
ABPH   ,PHEASANTS
ABPPR1 ,CHICKEN - REPLACEMENT
AC     ,CATTLE
ACCA12 ,CALF - UP TO 12 WEEKS OLD
ACDDD  ,DAIRY CATTLE DRY
ACFLL  ,FEEDLOT CATTLE (EXCEPT LACTATING DAIRY C
ACHS   ,HEIFER SPEYED (NEUTERED YOUNG COW)
ACO3   ,CATTLE - OVER 3 MONTHS OF AGE
AD1    ,DOG - PUPPY UP TO 4 MONTHS OLD
AD4KG  ,DOG - UP TO 4KG
ADF    ,DOG - FEMALE (BITCH)
ADK1   ,DOG - 10-20 KG
ADKD   ,DOG - 12-22 KG
ADO5   ,DOG- OVER 5 KG
ADP    ,DOG - PUPPY
AF1    ,CAT - OVER 8 WEEKS OLD
AF12   ,CAT - OVER 12 WEEKS OLD
AFZ    ,ZOO FELIDAE
AHC    ,HORSE COLT (YOUNG MALE)
AHMPFF ,MARE AFTER FOALING
AIBS   ,BETTA
AIKF   ,KOI FISH
AK     ,DONKEY
ALEM   ,EMOLLIENT
APKG3  ,PIG - LESS THAN 30 KG LIVEWEIGHT
AQL    ,LIZARDS
ARM    ,MICE
ARRP   ,RABBIT - PET
AS     ,SHEEP
ASH    ,SHEEP HOGGET (LESS THAN 1 Y OLD)
ASL12  ,LAMB UP TO 12 WEEKS OLD
ASLU   ,LAMB - UNSHORN
ASME   ,SHEEP - MAIDEN EWE
ASO1   ,SHEEP - OVER 10KG (BODY WEIGHT)
ASY    ,YEARLING - SHEEP
ENVER  ,VERANDA - ENCLOSED
FC1    ,GRAPEVINE COVER CROPS
FCDSF  ,SILVERLEAF DESMODIUM FORAGE CROP
FCFOB  ,FORAGE CROPS - BARE EARTH SITUATION
FCFP   ,FORAGE SPECIES - PRIOR TO SOWING
FCGA3  ,BARLEY - PRE-PLANT
FCGAEF ,BARLEY - UP TO EARLY FLAG LEAF ONLY
FCGAF  ,BARLEY - FALLOW/PRE-PLANT
FCGAST ,BARLEY - SEE LABEL FOR SOIL TYPES
FCGAT1 ,BARLEY-NO-TILL/MIN TILL CROPPING SYSTEMS
FCGAX  ,BARLEY - SEED
FCGB1  ,MAIZE - SEE LABEL
FCGC2  ,MILLET - REFER TO LABEL
FCGCB  ,CEREAL - BARE EARTH SITUATION
FCGCF  ,CLEARFIELD BARLEY
FCGCPC ,CEREAL RYE - POST CROP & WEED EMERGENCE
FCGD2  ,OATS - POST SOWING
FCGD3  ,OATS - POST-EMERGENCE
FCGDSE ,OATS - SEEDLING
FCGFL  ,CEREAL RYE - UNDERSOWN WITH LOTUS SEED O
FCGFP  ,CEREAL RYE - PRIOR TO SOWING
FCGH1A ,WHEAT - FALLOW & SEEDBED
FCGH3  ,WHEAT U'SOWN (LUCERNE)
FCGHH  ,WHEAT - PRE-HARVEST
FCGHP1 ,WHEAT (PRIOR TO SOWING - I.B.S.)
FCGHS  ,WHEAT - SEEDLING
FCGI   ,LUPIN
FCGI4  ,LUPIN - L. ANGUSTIFOLIUS (PRIOR TO SOW)
FCGI6  ,NARROW LEAF LUPIN - LUPINUS ANGUSTIFOLIU
FCGIW  ,WHITE LUPIN
FCGJ2  ,TRITICALE - FALLOW & SEEDBED
FCGJA  ,TRITICALE - UNDERSOWN WITH CLOVER
FCGKA  ,CEREAL - UNDERSOWN WITH MEDIC AND CLOVER
FCGKD  ,WHEAT AND BARLEY - UNDERSOWN
FCGKL  ,CEREAL - UNDERSOWN WITH MEDIC(SEE LABEL)
FCGL   ,SORGHUM
FCGL1  ,SORGHUM GRAIN - SEE LABEL
FCGLD  ,SORGHUM - DRYLAND
FCGLQ  ,LUPIN - QUILINOCK VARIETY
FCGLS  ,SORGHUM SEED
FCH    ,HOPS
FCLPPM ,LEGUME BASED PASTURE (POST EMERGE)-MEDIC
FCME1  ,LUCERNE - SELECTIVE WEED CONTROL
FCMED  ,LUCERNE
FCMEU  ,LUCERNE - UNDERSOWN
FCOA11 ,LINSEED - FALLOW AND SEEDBED
FCOC1  ,SAFFLOWERS
FCODE  ,SUNFLOWER - PRE-EMERGENT
FCODI  ,SUNFLOWER OILSEED-FURROW IRRIGATED
FCODP  ,SUNFLOWER (PRIOR TO SOWING)
FCOE   ,CANOLA OILSEED CROP
FCOE9  ,CANOLA - TT - INCORPORATED BY SOWING
FCOF   ,SESAME
FCOKF  ,CRUCIFER FORAGE
FCOV2  ,POPPY (P.SOMNIFERUM)
FCP1   ,FIELD PEA - POST SOWING/PRE-EMERGENCE
FCPBP  ,PIGEON PEA - PRIOR TO SOWING
FCPD   ,FIELD PEA - DUN
FCPDD  ,FIELD PEA - DUNDALE
FCPE   ,FIELD PEA SEED
FCPK   ,CHICKPEA
FCSCG  ,CARIBBEAN STYLO FORAGE CROP-PRIOR TO SOW
FCSF   ,"SUGAR CANE - VARIETIES Q80, Q96 & H56"
FCSN   ,SUGAR CANE - RATOON NO TRASH BLANKET
FCSP   ,SUGAR CANE (PRE-EMERGENT)
FCSW   ,SUGAR CANE WITH TRASH BLANKET
FCSYF  ,YELLOW SERRADELLA FORAGE CROP
FCTOS  ,TOBACCO SEEDLING
FR2    ,FRUIT - REFER TO LABEL
FRAAP  ,ORCHARD - PRIOR TO SOWING
FRB    ,BERRY FRUIT
FRBI2  ,STRAWBERRY - NEW PLANTING
FRCAM  ,MEYER LEMON
FRCB   ,ORANGE
FRCC   ,CITRUS OVER 4 YEARS OLD
FRCFD  ,ELLENDALE MANDARIN
FRCO2  ,CITRUS FRUIT ORCHARD OVER 2 YEARS OLD
FRCOO  ,CITRUS OVER 1 YEAR OLD
FRGPR  ,FRUIT - PRIOR TO SOWING
FRM    ,MELON
FRMR   ,ROCKMELON OR CANTALOUP
FRMRP  ,ROCKMELON OR CANTELOUP - PRE-EMERGENT
FRP    ,POME FRUIT
FRPA1  ,DORMANT APPLE
FRPA2  ,APPLE - POST-HARVEST DIP
FRPA6  ,CROFTON APPLE
FRPAF  ,APPLE OVER 1 YEAR OLD
FRPAJ  ,JONATHAN APPLE
FRPAQ  ,APPLE - JONATHAN - POST-HARVEST DIP
FRPAR  ,APPLE ORCHARD
FRPAT  ,APPLE TREE - POST HARVEST SPRAY
FRPAV  ,APPLE - RED DELICIOUS - POST-HARVEST DIP
FRPAZ  ,BONZA APPLE - POST-HARVEST
FRPC   ,MEDLAR
FRPDNS ,NASHI PEAR
FRPDP  ,PACKHAM PEAR
FRPDT  ,PEAR TREE - POST HARVEST SPRAY
FRSA   ,APRICOT
1H     ,HERBICIDE ADDITIVE
1W     ,WETTING AGENT
AAH    ,HONEY BEES
ABCB   ,CAGE BIRDS
ABDL   ,LOVE BIRDS
ABL    ,BIRD - LARGE
ABP    ,POULTRY
ABPPB  ,PULLET - BREEDING
ABPR   ,POULTRY BROILERS (MEAT FOR HUMAN CONSUM)
ACDL   ,DAIRY CATTLE LACTATING
ACH1   ,HEALTHY PREGNANT HEIFER 
ACH3   ,HEIFER (NOT YOUNGER THAN 3 MONTHS)
ACHH   ,HEIFER (MEAT ONLY)
ACN    ,CATTLE - NON BREEDING
AD10K  ,DOG - UP TO 10KG
AD23   ,CAT - UP TO 2.3KG
ADB    ,DOG - BREEDING
ADEL   ,DOG - EXTRA LARGE
ADFL   ,DOG - LACTATING
ADK2   ,DOG - 20-40 KG
ADP4   ,DOG - OVER 3 WEEKS
AF4    ,CAT - OVER 4 WEEKS OLD
AFCO   ,CAT - OVER 2 KG
AFK1   ,KITTEN - OVER 1 MONTH OLD
AFU4   ,CAT - UP TO 4KG
AG     ,GOAT
AHD    ,HORSE - NOT PREGNANT
AHHS   ,HORSE - SPELLING
AHWH   ,HORSE - AT WORK
AL1    ,CATTLE - TEASER
AM     ,MARSUPIAL
AMEC   ,ECHIDNA
APS    ,PIG SOW (FEMALE)
ASED   ,SHEEP EWE - DRY
ASEP   ,SHEEP PREGNANT
ASFE   ,SHEEP FOR EXPORT
ASL    ,LAMB
ASWS   ,SHEEP SHORT WOOL (SHORN)
BNWC   ,BEE NESTS IN WALL CAVITIES
DCST   ,SPOT TREATMENTS
FBCR   ,CRANBERRY
FCB    ,CHOU MOELLIER
FCCR1  ,COMMERCIAL RYE - SEE LABEL
FCFG   ,FENUGREEK
FCFLC  ,FORAGE CROP (CONTAINING LUCERNE)
FCFSL  ,FORAGE - SEE LABEL FOR INCLUSIONS
FCGAD  ,BARLEY - PRE-EMERGENT
FCGASS ,BARLEY - SALVAGE SPRAY
FCGBD  ,MAIZE - DRYLAND
FCGBPP ,MAIZE - PRE-PLANT
FCGBS  ,MAIZE SEED
FCGC   ,BROOM MILLET
FCGCR  ,CEREAL RYE - POST EMERGENT
FCGD5  ,OATS - PRE-EMERGENCE
FCGD8  ,OATS - FALLOW & SEEDBEDS
FCGDA  ,OATS - UNDERSOWN WITH CLOVER
FCGDC  ,OATS - UNDERSOWN WITH MEDIC
FCGDI  ,"OATS - UNDERSOWN (LUCERNE,CLOVER,MEDIC)"
FCGE24 ,RICE - AERIAL SPRAY W/I 24HRS OF SOWING
FCGE7  ,RICE - DRY BROADCAST SOWN
FCGEAS1,RICE - AERIAL SOWN INTO FLOODED BAY EXCL
FCGECS ,RICE - COMBINE SOWN
FCGEP  ,RICE (PRIOR TO SOWING)
FCGEPD ,RICE - PRIOR TO DIRECT DRILLING
FCGES1 ,COMBINE SOWN RICE - REFER TO LABEL
FCGFC  ,CEREAL RYE - UNDERSOWN WITH MEDIC
FCGH   ,WHEAT
FCGH112,WHEAT-IMIDAZOLINONE TOLERANT SINGLE GENE
FCGH4  ,WHEAT - DIRECT SEEDING
FCGH5  ,WHEAT - POST EMERGENT
FCGH8  ,WHEAT-PRE&POST SOWING SELF MULCHING SOIL
FCGHL  ,WHEAT - UNDERSOWN WITH LOTUS SEED OR FOR
FCGHY  ,DRYLAND WHEAT
FCGI5  ,LUPIN - NARROWLEAF VARIETY
FCGJEF ,TRITICALE - UP TO EARLY FLAG LEAF ONLY
FCGJI2 ,TRITICALE - PRIOR TO SOWING (I.B.S.)
FCGJPC ,TRITICALE - POST CROP & WEED EMERGENCE
FCGJU  ,TRITICALE-UNDERSOWN LUCERNE/CLOVER/MEDIC
FCGK2  ,CEREAL - UNDERSOWN CLOVER &/OR LUCERNE
FCGKB  ,CEREAL -  UNDERSOWN WITH LUCERNE
FCGKP  ,TRITICALE - PRIOR TO SOWING
FCGL3  ,SORGHUM - GRAZING
FCGLG  ,SORGHUM GRAIN
FCGLK  ,LUPIN - KALYA VARIETY
FCGPF  ,CEREALS - FOR HARVEST
FCGPS  ,TRITICALE - POST SOWING
FCJBF  ,BARGOO JOINTVETCH FORAGE CROP
FCLTF  ,LOTONONIS FORAGE CROP
FCMS   ,MEDIC SEED
FCOA   ,LINSEED OIL CROP
FCODF  ,SUNFLOWER FALLOW & SEEDBED
FCOET2 ,CANOLA(TT VARIETIES ONLY) - PRE EMERGENT
FCOL   ,LINOLA
FCOSL  ,OIL SEED CROP - SEE LABEL FOR INCLUSIONS
FCP    ,FIELD PEA
FCP6   ,FIELD PEA - FALLOW & SEEDBED
FCPC   ,CANNING PEA
FCPCW2 ,COWPEA - PRE-HARVEST
FCPK3  ,CHICKPEA - PRE-HARVEST
FCPKV  ,CHICKPEA - SEE LABEL
FCPQ   ,FIELD PEA (PRE-EMERGENT)
FCSB   ,SUGAR CANE - Q96 VARIETY
FCSCF  ,CARIBBEAN STYLO FORAGE CROP
FCSPL  ,PLANT CANE - POST EMERGENCE
FCSPP  ,SUGAR CANE PRIOR TO PLANTING
FCSPT  ,SUGAR CANE (POST-EMERGENT)
FCSTF  ,COMMON STYLO FORAGE CROP
FCT2   ,TOBACCO - DARK
FCY    ,BERRY CROP
FRA    ,FRUIT CROP OR TREE
FRAET  ,ESTABLISHED TREE - NOT FRUIT BEARING TRE
FRBC3  ,BLUEBERRY OVER 3 YEARS OLD
FRBED  ,CURRANT - DRIED
FRBH   ,BERRY FRUIT - ESTABLISHED
FRBK   ,CANE BERRY FRUIT
FRBL   ,LOGANBERRY
FRBM   ,MULBERRY
FRC1   ,DECIDUOUS CITRUS
FRCBN  ,NAVEL ORANGE
FRCBR  ,TRIFOLIATE ORANGE
FRCBS  ,SEVILLE ORANGE
FRCBT  ,ORANGE - NON TRIFOLIATA ROOTSTOCK
FRCM   ,"CITRUS - MATURE, WELL ESTABLISHED"
FRCM2  ,CITRUS - WELL ESTABLISHED (SEE ALIASES)
FRP1   ,POME FRUIT TREE
FRPAH  ,DORMANT APPLE OVER 3 YEARS OLD
FRPAPP ,APPLE
FRPATE ,TYDEMAN'S EARLY APPLE
FRPATT ,APPLE TREE
FRPAW  ,WINESAP APPLE
FRPAX  ,APPLE ORCHARD OVER 2 YEARS OLD
FRPAY  ,APPLE - LADY WILLIAMS - POST-HARVEST DIP
FRPD1  ,PEAR - POST-HARVEST DIP
FRPDL  ,PEAR - SEE LABEL FOR VARIETY
FRPDNP ,NASHI PEAR ORCHARD
FRPDR  ,DORMANT PEAR
FRPPD  ,POME FRUIT - DORMANT
FRPS   ,APPLE - SPRING AND SUMMER TREATMENT
FRSBE  ,CHERRY - ESTABLISHED
FRSBS  ,CHERRY - ST MARGARET
FRSEA  ,DORMANT PLUM
FRSEL  ,PLUM - SEE LABEL FOR VARIETY
FRSG   ,PRUNE PLUM
FRT15  ,ROLLINIA
FRT20  ,SWEETSOP
FRT21D ,TAMARILLO - POST-HARVEST DIP
FRT4   ,JABOTICABA
FRT8   ,MAMMEY
FRTAPP ,AVOCADO - PRIOR TO PLANTING
FRTB1C ,BANANA - CAVENDISH
FRTBA  ,BANANA PLANTATION
FRTBC  ,BRAZILIAN CHERRY
FRTBO  ,BANANA - POST-HARVEST
FRTCA  ,CUSTARD APPLE OVER 3 YEARS OLD
FRTCP  ,CUSTARD APPLE - POST-HARVEST DIP
FRTE   ,PAWPAW
FRTGA  ,"MANGO, OVER 3 YEARS OLD"
FRTPA  ,"PERSIMMON, OVER 3 YEARS OLD"
FRTPD  ,PERSIMMONS - POST-HARVEST DIP
FRTSIP ,SUB-TROPICAL FRUIT (INEDIBLE PEEL)
FRTWPP ,KIWI FRUIT - PRIOR TO PLANTING
FRV    ,GRAPE
FRV3   ,VINE OVER 3 YEARS OLD
FRV4   ,VINE OVER 4 YEARS OLD
FRVFD  ,GRAPE - DESTINED FOR DRYING
FRVX1  ,VINE - CONTAINER GROWN
FRVXL  ,VINE LINE - SPRAYING
FRVZ   ,DECIDUOUS VINE
FRXBA  ,DESSERT FIG OVER 3 YEARS OLD
FRXBP  ,BANANA PASSIONFRUIT - POST-HARVEST DIP
FRXF   ,RACK SPRAYING OF DRIED FRUIT
GC3    ,CROP - WEED SEED SET CONTROL
GCCT11 ,COTTON - 15 CM HIGH
GCCT4  ,COTTON - PRE-HARVEST
GCCT7  ,COTTON - AFTER LAST CULTIVATION
GLTT   ,TEA-TREE OIL PLANTATION
HEMP1  ,PEPPERMINT - OIL PRODUCTION ONLY
