hostcode,hostdesc
FRPA5  ,APPLE - STARK CRIMSON
FRPAL  ,APPLE - SEE LABEL FOR VARIETY
FRPDE  ,PEAR OVER 1 YEAR OLD
FRPDO  ,PEAR ORCHARD
FRPDWP ,WILLIAM PEAR
FRPF1  ,QUINCE - DORMANT - OVER 3 YEARS OLD
FRPO   ,POME FRUIT ORCHARD
FRPQ   ,QUINCE - SEE LABEL FOR EXCLUSIONS
FRSB1  ,CHERRY - SEE LABEL FOR DETAILS
FRSB3  ,CHERRY - EXTEND FLOWER LIFE
FRSD   ,PEACH
FRSDD  ,DORMANT PEACH
1P     ,PAINT ADDITIVE
A2     ,WILD ANIMAL
A9     ,RACING ANIMAL
ABCA   ,CAGE BIRD-BREEDER
ABD    ,DOMESTIC BIRDS
ABDF   ,FINCHES
ABDP   ,PARROTS
ABM    ,GAME BIRDS
ABPB   ,POULTRY BREEDERS - NUCLEUS FLOCKS
ABPP   ,POULTRY PULLETS (GROWING CHOOK)
ACA    ,CATTLE - ADULT
ACBW   ,BEEF CATTLE - AFTER WEANING
ACCPFC ,COW AFTER CALVING
ACDDE  ,DAIRY CATTLE NOT LACTATING NOT PREGNANT
ACF    ,BUFFALO
ACHH1  ,HEIFER - PASTURE FED
ACS6   ,STEER (NOT UNDER 6 MONTHS)
ACY    ,YEARLING - CATTLE
AD20   ,DOG - OVER 20 KG
AD2K   ,DOG - UP TO 20 KG
AD6    ,DOG - OVER 6 WEEKS OLD
AD8    ,DOG - UP TO 11KG
ADC    ,DOG - OVER 12 WEEKS OLD
ADFN   ,DOG - NOT PREGNANT
ADFP   ,DOG - PREGNANT
ADK14  ,DOG - 25.1-50 KG
ADK15  ,DOG - 10.1-25 KG
ADK17  ,DOG - 2-4 KG
AF     ,CAT
AFM    ,CAT - MALE (TOM)
AFS    ,CAT - SMALL
AGK    ,GOAT KID
AIA    ,FISH AQUARIUM
ALIM   ,SHEEP - MULESING WOUND
ALSS   ,SHEEP MARKING WOUND
AMKO   ,KOALA
AMWO   ,WOMBAT
ANMO   ,ANT MOUND
AO     ,MONKEY
