hlevel1
ACTIVE CONSTITUENT
ADJUVANT
ALGICIDE
ALIMENTARY + ANTIBIOTIC
ALIMENTARY SYSTEM
AMINO ACID & VIT. SUPPL.
AMINO ACID SUPPLEMENT
ANABOLIC HORMONE
ANABOLIC STEROID
ANABOLIC STEROIDS
ANAEROBICIDE
ANAESTHETIC
ANAESTHETICS/ANALGESICS
ANALGESIC+MUSCULOSKELETAL
ANTHELMINTIC
ANTI-ARTHRITIC
ANTIBACTERIAL
ANTIBACTERIAL I/MAMMARY
ANTIBACTERIALS I/MAMMARY
ANTIBACTERIALS SYSTEMIC
ANTIBIOTIC & RELATED
ANTIBIOTIC + NUTRITIONAL
ANTIBIOTIC+DERMATOLOGICAL
ANTIBIOTIC+GENITOURINARY
ANTI-BLOAT
ANTI-CHOLINERGIC
ANTI-DIARRHOEAL
ANTIDIARRHOEALS
ANTIDOTE
ANTIDOTES
ANTIFOULING
ANTIFOULING - BOAT
ANTI-FUNGAL
ANTI-HISTAMINE
ANTIHISTAMINE + ENDOCRINE
ANTIHISTAMINES
ANTI-INFLAMMATORY
ANTIMYCOTICS SYSTEMIC
ANTI-NEOPLASTIC AGENT
ANTIPROTOZOAL
ANTIPROTOZOALS
ANTIPRURITIC
ANTISEPTICS/DISINFECTANTS
ANTI-TOXIN
ANTIVENOM
BOTICIDE
BRANDING SUBSTANCE
BRONCHOSECRETOLYTIC
BRONCODILATOR
CARDIOACTIVE
CARDIOVASCULAR SYSTEM
CENTRAL NERVOUS SYSTEM
COAGULANT
COCCIDIOSTAT
COMP. ANIMAL HEALTH PROD.
CONDITIONER
CORTICOSTEROID
COUNTER IRRITANT
DAIRY CLEANSER
DEHORNER
DERMAL+EQUIP DISINFECTANT
DERMATOL ANTIBIO & CHEMO
DERMATOL CORTICOSTEROIDS
DERMATOLOGICAL ANTIFUNGAL
DERMATOLOGICAL PREPS.
DETERRENT
DIAGNOSTIC
DIAGNOSTIC AGENTS
DIGESTIVE AID
DISINFECTANT
DIURETIC
DYE
EAR TREATMENT
"EAR,NOSE,THROAT + DERMAL"
"EAR,NOSE,THROAT + OCULAR"
"EAR,NOSE,THROAT PREPS."
ELECTROLYTE SUPPLEMENT
EMETIC
ENDOCRINE + NUTRITIONAL
ENDOCRINE SYSTEM
ENDOCRINE+MUSCULOSKELETAL
ENEMA
EQUIPMENT DISINFECTANTS
EUTHANASIATES
EUTHANISER
EXPECTORANT
"FERTILIZER, LIME"
"FERTILIZER, LIQUID"
"FERTILIZER, MISC"
"FERTILIZER, NITROGEN"
"FERTILIZER, NK"
"FERTILIZER, NP"
"FERTILIZER, NPK"
"FERTILIZER, PHOSPHOROUS"
"FERTILIZER, PK"
"FERTILIZER, POTASSIUM"
"FERTILIZER, SOIL"
"FERTILIZER, TRACE ELEMENT"
FLEA COLLAR
FLUKICIDE
FRUIT DRYING OIL
FUNGICIDE
GENITOURINARY SYSTEM
GERIATRIC
GLUCOCORTICOID
GROWTH PROMOTANTS
GROWTH PROMOTER
GROWTH REGULATOR
HEAMOSTATIC
HERBAL REMEDIES
HERBICIDE
HOOF PAINTS & TREATMENTS
HORMONE
HOUSEHOLD INSECTICIDE
IMMUNO+PARASITE+NUTRITION
IMMUNOTHERAPY
INSECTICIDAL DIP/SPRAY
INSECTICIDAL WASH/SHAMPOO
INSECTICIDE
INTRAMAMMARY
LAXATIVE
LINIMENT
LOTION
MARKER
MEDICATED SHAMPOO
METABOLIC SUPPLEMENT
MICROBIOCIDE
MINERAL - ELEMENT (FOR DE
MINERAL SUPPLEMENT
MISCELLANEOUS
MISCELLANEOUS VETERINARY
MITICIDE
MIXED FUNCTION PESTICIDE
MIXED FUNCTION SEED TREAT
MOLLUSCICIDE
MUCOLYTIC
MUSCLE RELAXANT
MUSCULOSKELETAL SYSTEM
NATURAL HEALTH PRODUCT
NEMATICIDE
NO TYPES ENTERED YET
NUTRITION & METABOLISM
NUTRITION/METABOLISM V13A
OINTMENT
OPHTHAL & OTOL COMBINED
OPHTHALMIC PREPARATIONS
OPHTHALMOLOGICALS
OTHER DRUGS
OTOLOGICALS
PARASITICIDE+NUTRITIONAL
PARASITICIDES
PARASTICIDE+IMMUNOTHERAPY
PLANT REGULATOR
POOL ALGICIDE
POOL CHEMICAL
POOL CHLORINE
POOL SANITISER
POOL SURFACTANT
POULTICE
POUR-ON INSECTICIDE
PRE-ANAESTHETIC
REPELLENT - BIRDS
REPELLENT - DOGS ETC
RESPIRATORY + ANTIBIOTIC
RESPIRATORY SYSTEM
RESPIRATORY+CARDIOVASCULR
SAFENER
