"pcode","regno","regdate"
"54232","0102","31/01/2002 12:00:00 AM"
"54232","0609","15/08/2009 12:00:00 AM"
"54232","0707","28/08/2007 12:00:00 AM"
"54232","0801","9/08/2001 12:00:00 AM"
"54232","1001","24/10/2001 12:00:00 AM"
"54243","0901","20/09/2001 12:00:00 AM"
"54311","0502","20/05/2002 12:00:00 AM"
"54343","0608","24/07/2008 12:00:00 AM"
"54343","0702","23/07/2002 12:00:00 AM"
"54343","0705","19/08/2005 12:00:00 AM"
"54343","0902","17/09/2002 12:00:00 AM"
"49815","0997","16/09/1997 12:00:00 AM"
"50029","0599","13/05/1999 12:00:00 AM"
"50029","0898","2/09/1998 12:00:00 AM"
"50029","1001","18/10/2001 12:00:00 AM"
"54469","0102","31/01/2002 12:00:00 AM"
"54469","0703","14/07/2003 12:00:00 AM"
"54469","1106","4/06/2007 12:00:00 AM"
"54669","0203","24/02/2003 12:00:00 AM"
"54669","0806","30/01/2007 12:00:00 AM"
"54669","0807","30/08/2007 12:00:00 AM"
"54669","1201","7/01/2002 12:00:00 AM"
"54678","0202","25/02/2002 12:00:00 AM"
"55035","0203","27/02/2003 12:00:00 AM"
"55035","0306","18/05/2006 12:00:00 AM"
"55035","0404","5/05/2004 12:00:00 AM"
"53665","0404","11/06/2004 12:00:00 AM"
"53665","0601","17/07/2001 12:00:00 AM"
"53665","0901","17/09/2001 12:00:00 AM"
"53665","59859","5/02/2014 12:00:00 AM"
"54546","0205","15/02/2005 12:00:00 AM"
"54546","0404","14/04/2004 12:00:00 AM"
"54205","0601","2/07/2001 12:00:00 AM"
"54205","0909","23/11/2009 12:00:00 AM"
"54206","0205","26/05/2005 12:00:00 AM"
"54206","0701","25/07/2001 12:00:00 AM"
"54206","54897","19/01/2012 12:00:00 AM"
"54206","62418","22/07/2014 12:00:00 AM"
"54206","62418/","12/11/2015 3:03:04 PM"
"54223","0504","29/06/2005 12:00:00 AM"
"54223","0505","29/06/2005 12:00:00 AM"
"54223","0601","10/07/2001 12:00:00 AM"
"54223","63174","16/09/2014 12:00:00 AM"
"54355","0204","29/11/2004 12:00:00 AM"
"54355","0402","18/04/2002 12:00:00 AM"
"54355","0406","3/10/2006 12:00:00 AM"
"54355","59477","23/12/2013 12:00:00 AM"
"54638","0102","9/01/2002 12:00:00 AM"
"55786","0703","29/07/2003 12:00:00 AM"
"55786","1206","16/01/2007 12:00:00 AM"
"56020","0303","24/03/2003 12:00:00 AM"
"56020","0904","13/10/2004 12:00:00 AM"
"56101","0702","23/07/2002 12:00:00 AM"
"56101","0703","29/07/2003 12:00:00 AM"
"56103","0702","14/08/2002 12:00:00 AM"
"56103","59940","9/08/2013 12:00:00 AM"
"56235","0306","28/04/2006 12:00:00 AM"
"56235","1202","4/12/2002 12:00:00 AM"
"56269","103397","1/08/2016 12:00:00 AM"
"56269","1103","5/03/2004 12:00:00 AM"
"56501","0607","24/07/2007 12:00:00 AM"
"56501","60087","12/11/2013 12:00:00 AM"
"55133","0203","17/02/2003 12:00:00 AM"
"55133","1101","20/12/2001 12:00:00 AM"
"55182","0206","23/03/2006 12:00:00 AM"
"55182","0502","21/05/2002 12:00:00 AM"
"55182","101246","27/04/2015 12:00:00 AM"
"55282","0102","24/01/2002 12:00:00 AM"
"55282","0710","11/08/2010 12:00:00 AM"
"55282","0805","26/10/2005 12:00:00 AM"
"55282","57535","7/11/2012 12:00:00 AM"
"55282","58827","30/04/2013 12:00:00 AM"
"55284","0102","4/02/2002 12:00:00 AM"
"52018","0899","10/09/1999 12:00:00 AM"
"52113","0300","24/03/2000 12:00:00 AM"
"54360","1102","5/12/2002 12:00:00 AM"
"54360","49511","3/09/2010 12:00:00 AM"
"54360","50231","21/09/2010 12:00:00 AM"
"54458","0203","11/02/2003 12:00:00 AM"
"54458","0801","10/08/2001 12:00:00 AM"
"54460","0702","30/07/2002 12:00:00 AM"
"54460","0801","27/08/2001 12:00:00 AM"
"52064","1299","9/12/1999 12:00:00 AM"
"52064","60199","14/11/2013 12:00:00 AM"
"52067","0102","13/02/2002 12:00:00 AM"
"52067","1100","7/11/2000 12:00:00 AM"
"54521","0801","28/08/2001 12:00:00 AM"
"54521","1002","22/10/2002 12:00:00 AM"
"54521","103147","4/09/2015 12:00:00 AM"
"55514","0402","15/04/2002 12:00:00 AM"
"55514","0909","24/11/2009 12:00:00 AM"
"58118","0505","20/05/2005 12:00:00 AM"
"58118","0607","7/11/2007 12:00:00 AM"
"58218","0404","26/08/2004 12:00:00 AM"
"56373","1002","16/10/2002 12:00:00 AM"
"56639","0404","11/06/2004 12:00:00 AM"
"55448","0302","19/03/2002 12:00:00 AM"
"55448","51321","25/11/2010 12:00:00 AM"
"55450","0802","9/09/2002 12:00:00 AM"
"58024","0104","31/03/2004 12:00:00 AM"
"58024","105686","18/05/2016 12:00:00 AM"
"58024","51315","22/05/2012 12:00:00 AM"
"58041","0905","9/11/2005 12:00:00 AM"
"58058","0803","3/09/2003 12:00:00 AM"
"58058","52220","29/04/2011 12:00:00 AM"
"58124","1103","6/07/2004 12:00:00 AM"
"58124","1108","1/05/2009 12:00:00 AM"
"57824","1003","8/10/2003 12:00:00 AM"
"57873","0603","2/07/2003 12:00:00 AM"
"55264","0104","13/01/2004 12:00:00 AM"
"55264","0705","6/07/2005 12:00:00 AM"
"55264","1003","3/10/2003 12:00:00 AM"
"55264","1106","5/12/2006 12:00:00 AM"
"55264","51649","22/08/2012 12:00:00 AM"
"55264","58250","28/05/2015 12:00:00 AM"
"55334","0403","17/04/2003 12:00:00 AM"
"55334","0502","29/05/2002 12:00:00 AM"
"55385","0802","5/09/2002 12:00:00 AM"
"55451","0106","2/02/2006 12:00:00 AM"
"55451","0302","11/03/2002 12:00:00 AM"
"55451","0610","22/06/2010 12:00:00 AM"
"55500","0403","23/04/2003 12:00:00 AM"
"55551","103464","25/08/2015 12:00:00 AM"
"55551","60673","18/11/2013 12:00:00 AM"
"58059","0903","19/09/2003 12:00:00 AM"
"58059","51438","12/04/2011 12:00:00 AM"
"54062","1005","21/11/2005 12:00:00 AM"
"56678","62828","11/04/2016 12:00:00 AM"
"56696","0103","18/02/2003 12:00:00 AM"
"56696","0210","23/03/2010 12:00:00 AM"
"56696","0404","1/06/2004 12:00:00 AM"
"56696","54132","17/10/2011 12:00:00 AM"
"57749","0503","3/07/2003 12:00:00 AM"
"57749","53230","21/04/2011 12:00:00 AM"
"57763","0603","11/07/2003 12:00:00 AM"
"57763","0610","8/11/2010 12:00:00 AM"
"57850","0405","27/09/2005 12:00:00 AM"
"57850","0903","22/09/2003 12:00:00 AM"
"57850","54945","18/04/2012 12:00:00 AM"
"57949","0405","4/05/2006 12:00:00 AM"
"57949","0704","12/08/2004 12:00:00 AM"
"57949","0706","12/09/2006 12:00:00 AM"
"57949","0708","12/08/2008 12:00:00 AM"
"57949","0907","28/08/2007 12:00:00 AM"
"57949","1204","3/06/2005 12:00:00 AM"
"57949","60584","31/01/2014 12:00:00 AM"
"57950","0510","14/07/2010 12:00:00 AM"
"57950","0704","11/10/2004 12:00:00 AM"
"57950","55527","3/04/2012 12:00:00 AM"
"55325","0403","4/04/2003 12:00:00 AM"
"55325","0504","25/01/2005 12:00:00 AM"
"55325","1203","27/04/2004 12:00:00 AM"
"55325","1204","22/02/2005 12:00:00 AM"
"55325","47070","10/11/2010 12:00:00 AM"
"55325","54927","14/08/2012 12:00:00 AM"
"55325","57537","15/02/2013 12:00:00 AM"
"58084","0109","15/05/2009 12:00:00 AM"
"56847","0505","6/07/2005 12:00:00 AM"
"56847","0703","8/08/2003 12:00:00 AM"
"56847","0710","6/08/2010 12:00:00 AM"
"56847","0903","29/09/2003 12:00:00 AM"
"56847","1106","6/12/2006 12:00:00 AM"
"56847","63181","16/09/2014 12:00:00 AM"
"56862","0306","19/01/2007 12:00:00 AM"
"56862","0503","22/05/2003 12:00:00 AM"
"56865","0403","16/04/2003 12:00:00 AM"
"56865","51222","3/06/2011 12:00:00 AM"
"57826","0803","21/08/2003 12:00:00 AM"
"57826","56463","3/07/2012 12:00:00 AM"
"57944","0803","3/09/2003 12:00:00 AM"
"57944","57094","10/08/2012 12:00:00 AM"
"56639","1004","6/12/2004 12:00:00 AM"
"56684","0303","18/03/2003 12:00:00 AM"
"56684","0603","10/07/2003 12:00:00 AM"
"56684","105165","7/04/2016 12:00:00 AM"
"56684","51631","9/12/2010 12:00:00 AM"
"57618","0406","29/03/2006 12:00:00 AM"
"57618","0903","11/09/2003 12:00:00 AM"
"57752","0209","31/03/2009 12:00:00 AM"
"57752","0510","17/06/2010 12:00:00 AM"
"57752","0703","25/07/2003 12:00:00 AM"
"57752","0707","29/08/2007 12:00:00 AM"
"57852","0304","29/07/2004 12:00:00 AM"
"57884","0204","4/03/2004 12:00:00 AM"
"57886","1112","28/11/2012 12:00:00 AM"
"58456","0408","12/10/2008 12:00:00 AM"
"58456","102565","25/11/2015 12:00:00 AM"
"58456","49179","7/07/2011 12:00:00 AM"
"58456","55607","23/12/2011 12:00:00 AM"
"58477","0404","16/06/2004 12:00:00 AM"
"58477","62253","18/06/2014 12:00:00 AM"
"58522","0105","19/01/2005 12:00:00 AM"
"58522","0504","31/08/2004 12:00:00 AM"
"58545","0305","15/04/2005 12:00:00 AM"
"56321","0902","16/09/2002 12:00:00 AM"
"56370","0605","29/07/2005 12:00:00 AM"
"56370","1002","18/10/2002 12:00:00 AM"
"56653","0805","4/11/2005 12:00:00 AM"
"56670","1003","8/10/2003 12:00:00 AM"
"56670","60281","18/12/2013 12:00:00 AM"
"56685","0310","6/08/2010 12:00:00 AM"
"56685","0703","30/07/2003 12:00:00 AM"
"56853","0203","18/02/2003 12:00:00 AM"
"57323","0503","7/05/2003 12:00:00 AM"
"57823","1112","28/11/2012 12:00:00 AM"
"57855","1004","29/11/2004 12:00:00 AM"
"57906","0406","31/05/2006 12:00:00 AM"
"57906","58432","18/07/2013 12:00:00 AM"
"57955","0703","17/07/2003 12:00:00 AM"
"58457","0305","5/07/2005 12:00:00 AM"
"58457","0506","4/10/2006 12:00:00 AM"
"58457","55214","28/02/2012 12:00:00 AM"
"58459","0604","6/07/2005 12:00:00 AM"
"58491","0205","2/05/2005 12:00:00 AM"
"58491","0706","8/08/2006 12:00:00 AM"
"58491","0909","29/10/2009 12:00:00 AM"
"58640","0105","15/02/2005 12:00:00 AM"
"58640","0504","23/07/2004 12:00:00 AM"
"58674","0504","22/06/2004 12:00:00 AM"
"58674","1108","29/06/2009 12:00:00 AM"
"58757","0405","13/04/2005 12:00:00 AM"
"58757","0610","25/08/2010 12:00:00 AM"
"58759","0604","19/11/2004 12:00:00 AM"
"58759","1208","6/01/2009 12:00:00 AM"
"58759","51326","9/11/2010 12:00:00 AM"
"50633","0698","10/06/1998 12:00:00 AM"
"50633","1107","5/05/2008 12:00:00 AM"
"50633","60413","31/10/2013 12:00:00 AM"
"50651","1298","16/12/1998 12:00:00 AM"
"50765","1099","8/11/1999 12:00:00 AM"
"50833","0406","18/05/2006 12:00:00 AM"
"50833","0898","26/08/1998 12:00:00 AM"
"50833","107143","14/07/2016 12:00:00 AM"
"50833","1109","2/11/2009 12:00:00 AM"
"50983","0898","24/08/1998 12:00:00 AM"
"51083","0798","14/07/1998 12:00:00 AM"
"51094","0603","20/06/2003 12:00:00 AM"
"51094","0607","13/03/2008 12:00:00 AM"
"51094","0799","26/07/1999 12:00:00 AM"
"51094","0800","15/08/2000 12:00:00 AM"
"51183","0105","11/04/2005 12:00:00 AM"
"51183","0401","12/04/2001 12:00:00 AM"
"51183","0599","25/05/1999 12:00:00 AM"
"51183","0899","26/08/1999 12:00:00 AM"
"51183","55982","14/05/2012 12:00:00 AM"
"51294","1098","27/10/1998 12:00:00 AM"
"51394"," 0905","7/12/2005 12:00:00 AM"
"51394","0400","19/04/2000 12:00:00 AM"
"51394","49529","7/09/2010 12:00:00 AM"
"51401","0999","12/10/1999 12:00:00 AM"
"51401","1199","22/11/1999 12:00:00 AM"
"51401","51285","30/11/2010 12:00:00 AM"
"49665","1197","24/11/1997 12:00:00 AM"
"49665","17194","26/08/1999 12:00:00 AM"
"49665","18466","2/12/1999 12:00:00 AM"
"49665","20262","28/08/2000 12:00:00 AM"
"51226","1098","13/10/1998 12:00:00 AM"
"51251","0205","22/03/2005 12:00:00 AM"
"51251","1198","9/11/1998 12:00:00 AM"
"57956","0208","7/09/2009 12:00:00 AM"
"57956","0604","16/09/2004 12:00:00 AM"
"57956","0606","6/07/2006 12:00:00 AM"
"57956","0805","13/01/2006 12:00:00 AM"
"57956","50460","17/04/2012 12:00:00 AM"
"57956","56779","17/05/2012 12:00:00 AM"
"57956","63468","31/10/2014 12:00:00 AM"
"57975","0407","10/07/2007 12:00:00 AM"
